text,emotion,sentiment,confidence,mind_state
"I am very happy today",happy,positive,0.95,"The person is beaming with joy and optimism about life."
"I feel completely lost and confused",fear,negative,0.80,"Uncertainty and anxiety are overwhelming their thoughts."
"I am okay just normal day",neutral,neutral,0.60,"The person is in a mundane state, going through their routine."
"I love solving hard problems",happy,positive,0.90,"They find deep satisfaction and purpose in challenging work."
"I don't know what is happening anymore",fear,negative,0.85,"Panic and helplessness are setting in as control slips away."
"I feel calm and focused",neutral,positive,0.75,"The mind is clear and ready to tackle tasks with steady purpose."
"I am angry about this situation",angry,negative,0.92,"Frustration and resentment are building toward a breaking point."
"Everything is going wrong today",sad,negative,0.88,"Despair and hopelessness are weighing heavily on their spirit."
"I just got promoted at work",happy,positive,0.93,"Excitement and pride are filling them with renewed energy."
"This is the worst day ever",sad,negative,0.91,"Deep disappointment and sorrow are consuming their thoughts."
"I feel excited about tomorrow",happy,positive,0.87,"Anticipation and enthusiasm are energizing their mindset."
"I'm worried something bad will happen",fear,negative,0.82,"Dread and anticipatory anxiety are creating mental tension."
"Nothing seems to matter anymore",sad,negative,0.85,"Emptiness and resignation have taken hold of their mind."
"I just finished a great project",happy,positive,0.89,"Accomplishment and satisfaction are giving them a sense of victory."
"I can't handle this pressure",fear,negative,0.84,"Overwhelm and panic are flooding their consciousness."
"Life is pretty good right now",neutral,positive,0.78,"Contentment and gratitude are present in their everyday awareness."
"I'm seething about what happened",angry,negative,0.94,"Raw anger and indignation are coursing through their mind."
"I feel disconnected from everything",sad,negative,0.80,"Isolation and numbness are creating emotional distance."
"I'm looking forward to the weekend",happy,positive,0.86,"Hope and pleasure are building as they anticipate rest."
"I don't trust what they're saying",fear,negative,0.79,"Suspicion and doubt are clouding their judgment and trust."
"I'm thrilled beyond measure",happy,positive,0.96,"Pure joy and euphoria are flooding their entire being."
"Everything feels uncertain and scary",fear,negative,0.87,"Vulnerability and fear of the unknown are dominant emotions."
"I feel like I'm failing at everything",sad,negative,0.89,"Self-doubt and despair are eroding their confidence."
"I'm so frustrated I could scream",angry,negative,0.90,"Intense irritation and helpless rage are at their peak."
"Today was surprisingly wonderful",happy,positive,0.88,"Delight and gratitude are washing over them unexpectedly."
"I'm afraid of what might happen",fear,negative,0.81,"Apprehension and worry are occupying most of their mental space."
"I feel empty and lost inside",sad,negative,0.86,"Melancholy and purposelessness are pervading their consciousness."
